Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Join_Date,name ,,
C001,Aarav Arora,Female,27,Jaipur,Jaipur,North,Consumer,25-07-2024,,,
C002,Rohan Mishra,Female,23,Kolkata,Kolkata,East,Home Office,30-09-2023,,,
C003,Vivaan Verma,Female,69,Delhi,Delhi,North,Home Office,19-02-2024,,,
C004,Aditya Arora,Female,31,Delhi,Delhi,North,Consumer,19-12-2024,,,
C005,Aditya Verma,Female,55,Mumbai,Mumbai,West,Home Office,11-08-2024,,,#REF!
C006,Akash Gupta,Female,27,Bengaluru,Bengaluru,South,Home Office,03-02-2024,,,
C007,Pooja Gupta,Female,150,Lucknow,Lucknow,North,Home Office,08-10-2024,,,
C008,Neha Sharma,Female,25,Kolkata,Kolkata,East,Corporate,16-01-2025,,,
C009,Vivaan Bansal,Female,37,Mumbai,Mumbai,West,Home Office,24-08-2024,,,
C010,Simran Agarwal,Female,51,Jaipur,Jaipur,North,Consumer,20-04-2025,,,
C011,Pooja Malhotra,Female,21,Bengaluru,Bengaluru,South,Home Office,02-08-2024,,,
C012,Pooja Joshi,Female,21,Jaipur,Jaipur,North,Home Office,12-05-2024,,,
C013,Pooja Joshi,Female,49,Jaipur,Jaipur,North,Home Office,02-10-2023,,,
C014,Aman Verma,Female,61,Kolkata,Kolkata,East,Home Office,22-08-2024,,,
C015,Muskan Choudhary,Female,28,Jaipur,Jaipur,North,Home Office,16-01-2024,,,
C016,Akash Kapoor,Female,34,Bengaluru,Bengaluru,South,Consumer,10-02-2023,,,
C017,Muskan Kumar,Female,69,Delhi,Delhi,North,Consumer,02-02-2023,,,
C018,Mohit Kapoor,Female,54,Lucknow,Lucknow,North,Corporate,23-02-2024,,,
C019,Sneha Mehta,Female,62,Mumbai,Mumbai,West,Consumer,06-01-2023,,,
C020,Ritika Agarwal,Female,25,Delhi,Delhi,North,Consumer,06-08-2024,,,
C021,Vivaan Singh,Female,24,Kolkata,Kolkata,East,Home Office,11-10-2024,,,
