Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Join_Date
C001,Priya Kapoor,Female,27,Jaipur,Rajasthan,North,Consumer,2024-07-25
C002,Aditya Patel,Male,23,Kolkata,West Bengal,East,Home Office,2023-09-30
C003,Pooja Arora,Female,69,Delhi,Delhi,North,Home Office,2024-02-19
C004,Sneha Kapoor,Female,31,Delhi,Delhi,North,Consumer,2024-12-19
C005,Aman Mehta,Male,55,Mumbai,Mumbai,West,Home Office,2024-08-11
C006,Ananya Singh,Female,27,Bengaluru,Karnataka,South,Home Office,2024-02-03
C007,Priya Saini,Female,150,Lucknow,Uttar Pradesh,North,Home Office,2024-10-08
C008,Ananya Singh,Female,25,Kolkata,West Bengal,East,Corporate,2025-01-16
C009,Simran Choudhary,Female,37,Mumbai,Maharastra,West,Home Office,2024-08-24
C010,Rohan Kapoor,Male,51,Jaipur,Rajasthan,North,Consumer,2025-04-20
C011,Aditya Arora,Male,21,Bengaluru,Karnataka,South,Home Office,2024-08-02
C012,Simran Sharma,Female,21,Jaipur,Rajasthan,North,Home Office,2024-05-12
C013,Aman Patel,Male,49,Jaipur,Rajasthan,North,Home Office,2023-10-02
C014,Karan Saini,Male,61,Kolkata,West Bengal,East,Home Office,2024-08-22
C015,Priya Khanna,Female,28,Jaipur,Rajasthan,North,Home Office,2024-01-16
C016,Sneha Yadav,Female,34,Bengaluru,Karnataka,South,Consumer,2023-02-10
C017,Ananya Joshi,Female,69,Delhi,Delhi,North,Consumer,2023-02-02
C018,Pooja Malhotra,Female,54,Lucknow,Uttar Pradesh,North,Corporate,2024-02-23
C019,Karan Verma,Male,62,Mumbai,Maharastra,West,Consumer,2023-01-06
C020,Pooja Kapoor,Female,25,Delhi,Delhi,North,Consumer,2024-08-06
C021,Muskan Verma,Female,24,Kolkata,West Bengal,East,Home Office,2024-10-11
C022,Aditya Saxena,Male,18,Bengaluru,Karnataka,South,Consumer,2023-02-05
C023,Aditya Arora,Male,44,Bengaluru,Karnataka,South,Home Office,2023-08-15
C024,Arjun Kumar,Male,49,Jaipur,Rajasthan,North,Consumer,2023-01-02
C025,Arjun Jain,Male,40,Bengaluru,Karnataka,South,Home Office,2024-04-15
C026,Sneha Joshi,Female,23,Bengaluru,Karnataka,South,Corporate,2025-05-09
C027,Nisha Mehta,Female,20,Bengaluru,Karnataka,South,Consumer,2024-07-11
C028,Ananya Yadav,Female,66,Bengaluru,Karnataka,South,Home Office,2025-02-22
C029,Neha Joshi,Female,42,Jaipur,Rajasthan,North,Consumer,2023-11-25
C030,Rohan Saini,Male,60,Lucknow,Uttar Pradesh,North,Consumer,2025-05-01
C031,Neha Joshi,Female,39,Lucknow,Uttar Pradesh,North,Home Office,2023-02-10
C032,Pooja Singh,Female,47,Delhi,Delhi,North,Home Office,2023-08-08
C033,Ritika Arora,Female,49,Bengaluru,Karnataka,South,Consumer,2023-03-31
C034,Aman Agarwal,Male,25,Jaipur,Rajasthan,North,Corporate,2024-01-14
C035,Aman Singh,Male,37,Delhi,Delhi,North,Corporate,2024-10-12
C036,Ananya Gupta,Female,61,Bengaluru,Karnataka,South,Consumer,2024-08-17
C037,Neha Mehta,Female,70,Jaipur,Rajasthan,North,Corporate,2024-03-20
C038,Aman Gupta,Male,39,Delhi,Delhi,North,Consumer,2024-01-11
C039,Ritika Patel,Female,65,Bengaluru,Karnataka,South,Consumer,2024-11-25
C040,Priya Saxena,Female,50,Kolkata,West Bengal,East,Corporate,2025-05-10
C041,Arjun Singh,Male,41,Lucknow,Uttar Pradesh,North,Consumer,2023-12-09
C042,Aditya Sharma,Male,64,Delhi,Delhi,North,Consumer,2025-01-21
C043,Muskan Patel,Female,30,Delhi,Delhi,North,Consumer,2023-08-07
C044,Neha Jain,Female,33,Delhi,Delhi,North,Home Office,2025-05-25
C045,Ananya Singh,Female,47,Mumbai,Maharastra,West,Consumer,2025-01-11
C046,Ritika Arora,Female,58,Delhi,Delhi,North,Corporate,2024-04-16
C047,Simran Arora,Female,21,Jaipur,Rajasthan,North,Home Office,2024-03-30
C048,Mohit Jain,Male,29,Jaipur,Rajasthan,North,Consumer,2023-08-02
C049,Akash Saini,Male,32,Kolkata,West Bengal,East,Home Office,2023-06-19
C050,Aarav Malhotra,Male,32,Delhi,Delhi,North,Consumer,2023-01-15
C051,Neha Kumar,Female,62,Kolkata,West Bengal,East,Home Office,2024-08-17
C052,Rohan Mishra,Male,29,Jaipur,Rajasthan,North,Corporate,2024-01-10
C053,Kavya Saini,Female,20,Bengaluru,Karnataka,South,Corporate,2023-07-17
C054,Aarav Patel,Male,31,Lucknow,Uttar Pradesh,North,Consumer,2025-04-24
C055,Karan Patel,Male,31,Mumbai,Maharastra,West,Consumer,2024-02-18
C056,Karan Patel,Male,33,Delhi,Delhi,North,Consumer,2023-06-21
C057,Nisha Malhotra,Female,18,Mumbai,Maharastra,West,Consumer,2024-04-21
C058,Nisha Saini,Female,46,Jaipur,Rajasthan,North,Corporate,2024-12-30
C059,Aditya Khanna,v,30,Kolkata,West Bengal,East,Home Office,2023-01-21
C060,Ananya Yadav,Female,69,Bengaluru,Karnataka,South,Corporate,2023-09-28
C061,Vivaan Bansal,Male,35,Lucknow,Uttar Pradesh,North,Home Office,2024-04-04
C062,Rohan Saxena,Male,59,Mumbai,Maharastra,West,Corporate,2023-04-07
C063,Arjun Yadav,Male,46,Kolkata,West Bengal,East,Home Office,2024-02-13
C064,Nisha Sharma,Female,48,Kolkata,West Bengal,East,Home Office,2023-02-03
C065,Neha Saini,Female,53,Mumbai,Maharastra,West,Consumer,2023-07-27
C066,Simran Bansal,Female,28,Delhi,Delhi,North,Corporate,2024-07-16
C067,Mohit Khanna,Male,31,Kolkata,West Bengal,East,Corporate,2023-02-20
C068,Vivaan Sharma,Male,64,Kolkata,West Bengal,East,Home Office,2024-05-22
C069,Akash Choudhary,Male,51,Jaipur,Rajasthan,North,Consumer,2025-02-19
C070,Karan Bansal,Male,44,Delhi,Delhi,North,Corporate,2025-03-13
C071,Pooja Patel,Female,46,Lucknow,Uttar Pradesh,North,Corporate,2025-03-16
C072,Kavya Khanna,Female,43,Jaipur,Rajasthan,North,Corporate,2024-11-14
C073,Priya Saini,Female,57,Jaipur,Rajasthan,North,Home Office,2025-01-13
C074,Kavya Agarwal,Female,32,Jaipur,Rajasthan,North,Corporate,2023-10-24
C075,Priya Mehta,Female,36,Delhi,Delhi,North,Home Office,2023-09-28
C076,Mohit Jain,Male,43,Mumbai,Maharastra,West,Corporate,2024-03-15
C077,Simran Khanna,Female,20,Mumbai,Maharastra,West,Consumer,2025-03-06
